Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-10,3285.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-10,2871.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-10,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-10,22.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-10,2170.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-10,1778.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-10,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-10,9343.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-10,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-10,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-10,4314.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-10,4162.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-10,11619.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-10,8428.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-10,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-10,2904.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-10,3629.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-10,3263.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-10,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-10,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-10,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-10,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-10,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-10,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-10,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-10,0.0
