Dataset_Name;Author;Last_Update;Usability;File_Count;Data_Type;Size;Upvote;Rank
Bitcoin Historical Data;Zielak;2025;100;1;CSV;98 MB;3693;Gold
International football results from 1872 to 2025;Mart Jürisoo;2025;100;4;CSV;1 MB;2315;Gold
Fruits-360 dataset;Mihai Oltean;2025;88;240356;other;4 GB;3133;Gold
Formula 1 World Championship (1950 - 2024);Vopani;2025;100;14;CSV;7 MB;1937;Gold
arXiv Dataset;Cornell University;2025;88;1;JSON;2 GB;1480;Bronze
FitBit Fitness Tracker Data;Möbius;2024;94;29;CSV;45 MB;2506;Gold
Data Science Salaries 2023 ??;randomarnab;2023;100;1;CSV;26 KB;1506;Bronze
Most Streamed Spotify Songs 2023;Nidula Elgiriyewithana ?;2023;100;1;CSV;48 KB;1891;Gold
US Accidents (2016 - 2023);Sobhan Moosavi;2023;100;1;CSV;685 MB;2454;Gold
Durum Wheat Dataset;Murat KOKLU;2022;94;333;other;1 GB;1473;Gold
Rice MSC Dataset;Murat KOKLU;2022;94;3;other;107 MB;1458;Gold
Grapevine Leaves Image Dataset;Murat KOKLU;2022;88;501;other;114 MB;1534;Gold
Raisin Dataset;Murat KOKLU;2022;94;3;other;115 KB;1495;Bronze
COVID-19 World Vaccination Progress;Gabriel Preda;2022;100;2;CSV;2 MB;2206;Gold
Pistachio Dataset;Murat KOKLU;2022;94;8;other;2 MB;1501;Silver
COVID-19 Open Research Dataset Challenge (CORD-19);Allen Institute For AI;2022;88;717120;other;20 GB;11131;Gold
Rice Image Dataset;Murat KOKLU;2022;88;75001;other;230 MB;1912;Gold
Reddit Vaccine Myths;Gabriel Preda;2022;100;1;CSV;243 KB;1515;Gold
Pistachio Image Dataset;Murat KOKLU;2022;94;2158;other;28 MB;1656;Silver
Yelp Dataset;Yelp Inc.;2022;75;6;JSON;4 GB;1713;Gold
Pumpkin Seeds Dataset;Murat KOKLU;2022;94;3;other;403 KB;1518;Gold
Date Fruit Datasets;Murat KOKLU;2022;94;3;other;418 KB;2121;Gold
Dry Bean Dataset;Murat KOKLU;2022;94;3;other;5 MB;1495;Gold
Rice Dataset Commeo and Osmancik;Murat KOKLU;2022;94;4;other;536 KB;1431;Gold
Acoustic Extinguisher Fire Dataset;Murat KOKLU;2022;94;3;other;636 KB;1700;Silver
Data Science Job Salaries;Ruchi Bhatia;2022;100;1;CSV;8 KB;1592;Gold
Diabetes Dataset;Akshay Dattatray Khare;2022;100;1;CSV;9 KB;1480;Gold
Netflix Movies and TV Shows;Shivam Bansal;2021;100;1;CSV;1 MB;9015;Gold
Flowers Recognition;Alexander Mamaev;2021;63;4317;other;236 MB;1962;Gold
Water Quality;Aditya Kadiwal;2021;100;1;CSV;257 KB;1587;Gold
Used Cars Dataset;Austin Reese;2021;100;1;CSV;275 MB;1523;Silver
Credit Card customers;Sakshi Goyal;2021;100;1;CSV;388 KB;2348;Gold
Rain in Australia;Joe Young;2021;100;1;CSV;4 MB;1811;Gold
